City,State,Country,Plant_Type,Product,Latitude,Longitude
"Chicago","Illinois","United States","Headquarters","The Monarch Agency, Inc.","41.88323","-87.6324"
"Chicago","Illinois","United States","Headquarters","International Harvester Overseas Services Co.","41.88323","-87.6324"
"Chicago","Illinois","United States","Headquarters","International Harvester Domestic International Sales Co. (DISC)","41.88323","-87.6324"
"Chicago","Illinois","United States","Factory","Components","41.88323","-87.6324"
"Columbus","Ohio","United States","Parts Distribution Center","","39.96276","-82.99629"
"Dallas","Texas","United States","Parts Distribution Center","","32.77798","-96.79621"
"Dallas","Texas","United States","Solar Product Support Center","","32.77798","-96.79621"
"East Moline","Illinois","United States","Factory","Combines,Planters,Control Centers","41.50056","-90.44441"
"Fargo","North Dakota","United States","Headquarters","Steiner Tractor Co.","46.87696","-96.78464"
"Fargo","North Dakota","United States","Factory","Farm Tractors","46.87696","-96.78464"
"Fort Wayne","Indiana","United States","Truck Engineering and Design Center","","41.07747","-85.13749"
"Fort Wayne","Indiana","United States","Factory","Trucks, Scout Vehicles","41.07747","-85.13749"
"Fort Wayne","Indiana","United States","Parts Distribution Center","","41.07747","-85.13749"
"Fort Wayne","Indiana","United States","Materials Management Center","","41.07747","-85.13749"
"Fort Wayne","Indiana","United States","Truck Proving Ground","","41.07747","-85.13749"
"Gardena","California","United States","Superior Gear Subsidiary","","33.88376","-118.30914"
"Gulfport","Mississippi","United States","Playline Products Distribution, Co.","","30.36977","-89.09154"
"Gulfport","Mississippi","United States","Factory","Industrial Tractors","30.36977","-89.09154"
"Hinsdale","Illinois","United States","Agricultural Equipment Research and Engineering Center","","41.80369","-87.92724"
"Hinsdale","Illinois","United States","Computer Center","","41.80369","-87.92724"
"Hinsdale","Illinois","United States","Manufacturing Research Center","","41.80369","-87.92724"
"Hinsdale","Illinois","United States","Manufacturing and Facility Planning Center","","41.80369","-87.92724"
"Hinsdale","Illinois","United States","Industrial Design Center","","41.80369","-87.92724"
"Indianapolis"," Indiana","United States","Factory","Gas and Diesel Engines","39.76845","-86.15621"
"Indianapolis"," Indiana","United States","Foundry","","39.76845","-86.15621"
"Kansas City","Kansas","United States","Parts Distribution Center","","39.09979","-94.57856"
"Libertyville"," Illinois","United States","Factory","Front End Loaders, Scrapers, Off-Road Trucks","42.283","-87.95334"
"Louisville"," Kentucky","United States","Factory","Outdoor Power Products,Transmissions,Components","38.19937","-85.65353"
"Louisville"," Kentucky","United States","Foundry","","38.19937","-85.65353"
"Melrose Park","Illinois","United States","Factory","Crawler Tractors,Engines","41.89343","-87.85661"
"Melrose Park","Illinois","United States","Payline Engineering Center","","41.89343","-87.85661"
"Melrose Park","Illinois","United States","Engine Engineering Center","","41.89343","-87.85661"
"Memphis","Tennessee","United States","Factory","Cotton Harvesting Equipment,Farm Implements,Hay Tools","35.14338","-90.05214"
"Memphis","Tennessee","United States","Nodular Foundry","","35.14338","-90.05214"
"Memphis","Tennessee","United States","Parts Distribution Center","","35.14338","-90.05214"
"Milwaukee","Wisconsin","United States","Headquarters","Harco Holdings Inc. Insurance Company","43.04107","-87.90942"
"Milwaukee","Wisconsin","United States","Association Life Insurance Co. Inc.","","43.04107","-87.90942"
"Milwaukee","Wisconsin","United States","Harco Insurance Service Inc.","","43.04107","-87.90942"
"Milwaukee","Wisconsin","United States","Harco National Insurance Service Inc.","","43.04107","-87.90942"
