City,State,Country,Plant_Type,Product
Libertyville, Illinois,"United States",Factory,"Front End Loaders, Scrapers, Off-road Trucks"
Louisville, Kentucky,"United States",Factory,"Outdoor Power Products,Transmissions,Components"
Louisville, Kentucky,"United States",Foundry,""
"Melrose Park",Illinois,"United States",Factory,"Crawler Tractors,Engines"
"Melrose Park",Illinois,"United States","Payline Engineering Center",""
"Melrose Park",Illinois,"United States","Engine Engineering Center",""
Memphis,Tennessee,"United States",Factory,"Cotton Harvesting Equipment,Farm Implements,Hay Tools"
Memphis,Tennessee,"United States","Nodular Foundry",""
Memphis,Tennessee,"United States","Parts Distribution Center",""
Milwaukee,Wisconsin,"United States",Headquarters,"Harco Holdings Inc. Insurance Company"
Milwaukee,Wisconsin,"United States","Association Life Insurance Co. Inc.",""
Milwaukee,Wisconsin,"United States","Harco Insurance Service Inc.",""
Milwaukee,Wisconsin,"United States","Harco National Insurance Service Inc.",""
Miami,Florida,"United States","Latin American Regional Sales Office",""
Phoenix,Arizona,"United States","Proving Ground","Trucks, Agricultural Equipment, Payline"
Richmond,California,"United States","Parts Distribution Center",""
"Rock Island",Illinois,"United States",Factory,"Farm Tractors"
Schaumburg,Illinois,"United States",Headquarters,"Payline Group"
Schaumburg,Illinois,"United States","Engineering Center","Industrial Equipment"
"San Diego",California,"United States",Headquarters,"Solar Turbines International Group"
"San Diego",California,"United States",Factory,Turbines
"San Diego",California,"United States",Factory,"Drive Packages"
"San Diego",California,"United States",Factory,Components
"San Diego",California,"United States",Headquarters,"Solar Turbines International Co."
"San Diego",California,"United States",Headquarters,"Solar Turbines Ltd."
"San Diego",California,"United States","Product Support Center",""
"St. Paul",Minnesota,"United States","Parts Distribution Center",""
Shadyside, Ohio,"United States",Factory,"Sheet Metal Stampings for Trucks"
Springfield,Ohio,"United States",Factory,"Trucks,Truck Bodies"
Springfield,Missouri,"United States","Payline Remanufacturing Center","Engines,Components"
Wagoner,Oklahoma,"United States",Factory,"Heavy Trucks"
Waukesha,Wisconsin,"United States",Foundry,""
"West Chicago",Illinois,"United States","Parts Distribution Center",""
Westmont,Illinois,"United States","Printing and Distribution Center",""
Caracas,,Venezuela,Headquarters,"Indistria zvenezolana de Maquinanas S.A."
Caracas,,Venezuela,Factory,Trucks
